log,lat,request_ts,trans_ts,label
30.295780181884766,59.932167053222656,1511956827,1511956594,0
30.219528198242188,59.95461654663086,1511956827,1511956746,-
30.409101486206055,59.931678771972656,1511956827,1511956747,-
30.293601989746094,59.93889236450195,1511956827,1511956759,-
30.3601016998291,59.93110275268555,1511956827,1511956767,-
30.309682846069336,59.940006256103516,1511956827,1511956769,-
30.361663818359375,59.93115997314453,1511956827,1511956774,-
30.312387466430664,59.9366455078125,1511956827,1511956778,-
30.38597297668457,59.94425964355469,1511956827,1511956782,0
30.23623275756836,59.955753326416016,1511956827,1511956783,-
30.296188354492188,59.93277359008789,1511956827,1511956783,-
30.359189987182617,59.931217193603516,1511956827,1511956787,?
30.345046997070312,59.932987213134766,1511956827,1511956797,-
30.374879837036133,59.93821334838867,1511956827,1511956802,1
30.303756713867188,59.9339485168457,1511956827,1511956803,-
30.24100685119629,59.92681121826172,1511956827,1511956805,-
30.37845802307129,59.940372467041016,1511956827,1511956806,-
30.347543716430664,59.93266677856445,1511956827,1511956811,0
30.355487823486328,59.931678771972656,1511956827,1511956811,?
30.366901397705078,59.931522369384766,1511956827,1511956812,-
30.285266876220703,59.939849853515625,1511956827,1511956814,-
30.354907989501953,59.93191146850586,1511956827,1511956814,-
30.334095001220703,59.934486389160156,1511956827,1511956816,-
30.312320709228516,59.93740463256836,1511956827,1511956820,2
30.40828514099121,59.936641693115234,1511956858,1511956832,-
30.358715057373047,59.931365966796875,1511956858,1511956834,0
30.29787826538086,59.93328094482422,1511956858,1511956848,-
30.279531478881836,59.93818283081055,1511956858,1511956848,-
30.313390731811523,59.93680953979492,1511956858,1511956849,1
30.389245986938477,59.945804595947266,1511956888,1511956857,-
30.337549209594727,59.93402862548828,1511956888,1511956857,0
30.355133056640625,59.93179702758789,1511956888,1511956871,-
30.365964889526367,59.93074035644531,1511956888,1511956877,-
30.381542205810547,59.94194793701172,1511956888,1511956879,-
30.246122360229492,59.92835235595703,1511956918,1511956885,-
30.29143524169922,59.940738677978516,1511956918,1511956894,-
30.358793258666992,59.93126678466797,1511956918,1511956896,0
30.339292526245117,59.93384552001953,1511956918,1511956896,0
30.35652732849121,59.931549072265625,1511956918,1511956899,1
30.278968811035156,59.93803787231445,1511956918,1511956903,-
30.31089973449707,59.939292907714844,1511956918,1511956904,-
30.312257766723633,59.93722152709961,1511956918,1511956905,?
30.367332458496094,59.93198776245117,1511956918,1511956907,?
30.219528198242188,59.95461654663086,1511956948,1511956746,-
30.303756713867188,59.9339485168457,1511956948,1511956908,-
30.37845802307129,59.940372467041016,1511956948,1511956911,1
30.356882095336914,59.93162155151367,1511956948,1511956924,0
30.23623275756836,59.955753326416016,1511956948,1511956928,-
30.295780181884766,59.932167053222656,1511956948,1511956936,-
30.367305755615234,59.93189239501953,1511956948,1511956937,0
30.316753387451172,59.93639373779297,1511956948,1511956939,1
30.29787826538086,59.93328094482422,1511956978,1511956948,-
30.408708572387695,59.941314697265625,1511956978,1511956957,-
30.35662078857422,59.93153762817383,1511956978,1511956959,-
30.249237060546875,59.929649353027344,1511956978,1511956965,-
30.356237411499023,59.931583404541016,1511956978,1511956966,-
30.329238891601562,59.93492889404297,1511956978,1511956967,?
30.365964889526367,59.93074035644531,1511957008,1511956977,-
30.34271240234375,59.93326950073242,1511957008,1511956981,-
30.37106704711914,59.93499755859375,1511957008,1511956991,1
30.31298065185547,59.93572998046875,1511957008,1511956993,-
30.294078826904297,59.93852233886719,1511957008,1511956994,-
30.324138641357422,59.93543243408203,1511957008,1511956994,-
30.389245986938477,59.945804595947266,1511957008,1511956997,0
30.369136810302734,59.93327713012695,1511957008,1511956997,0
30.3861141204834,59.94426345825195,1511957008,1511956997,-
30.312255859375,59.93739318847656,1511957008,1511956999,1
30.312257766723633,59.93722152709961,1511957039,1511956985,-
30.358793258666992,59.93126678466797,1511957039,1511956996,-
30.236818313598633,59.95676803588867,1511957039,1511957013,-
30.35784149169922,59.9313850402832,1511957039,1511957026,-
30.372478485107422,59.936649322509766,1511957039,1511957027,?
30.32476806640625,59.93546676635742,1511957039,1511957027,-
30.303665161132812,59.933921813964844,1511957039,1511957028,-
30.219528198242188,59.95461654663086,1511957069,1511956746,-
30.295780181884766,59.932167053222656,1511957069,1511956981,0
30.356882095336914,59.93162155151367,1511957069,1511957024,0
30.248109817504883,59.933570861816406,1511957069,1511957045,-
30.3691463470459,59.93314743041992,1511957069,1511957056,-
30.366125106811523,59.93095779418945,1511957069,1511957056,-
30.314680099487305,59.93625259399414,1511957069,1511957058,0
30.358116149902344,59.93135070800781,1511957069,1511957059,1
30.31257438659668,59.93696975708008,1511957099,1511957074,-
30.372385025024414,59.93637466430664,1511957099,1511957077,-
30.329118728637695,59.934879302978516,1511957099,1511957079,-
30.294597625732422,59.93812561035156,1511957099,1511957084,?
30.40117073059082,59.942710876464844,1511957099,1511957087,-
30.3861141204834,59.94426345825195,1511957129,1511957047,-
30.34271240234375,59.93326950073242,1511957129,1511957091,-
30.35899543762207,59.93124008178711,1511957129,1511957106,-
